Year,total_flights,delayed_flights,delay_rate_pct
2018,5601139,1050528.0,18.755613813547566
2019,7938055,1484629.0,18.702679686648683
2020,4721342,432838.0,9.167690033892907
2021,6200853,1072982.0,17.303780625020458
2022,3955126,863117.0,21.822743447364257
