Year,total_flights,delayed_flights,delay_rate_pct,avg_delay_minutes
2018,5601139,1050528.0,18.755613813547566,13.437523504355159
2019,7938055,1484629.0,18.702679686648683,14.25671301093278
2020,4721342,432838.0,9.167690033892907,6.752370406549663
2021,6200853,1072982.0,17.303780625020458,12.739927716396437
2022,3955126,863117.0,21.822743447364257,15.978879560347762
